,number,date,range,concept,negation,hof,location,correct_answ,hof_answ,location_answ,negation_answ,bleu,levenshtein,old_cosine_sim,jaccard,elmo,cosine
18,19,2/11/20 0:48,htn,Hypertensive disease,0,1,,1,1,1,1,0.263157895,0.5,0.673710167,0.5,0.614540637,0.536808118
19,20,2/11/20 0:50,HTN,Hypertensive disease,0,0,,1,0,1,1,0.263157895,0.5,0.673710167,0.5,0.6145944,0.536808118
20,21,2/11/20 0:51,hypertension,Hypertensive disease,0,0,,1,1,1,1,0.263157895,0.5,0.673710167,0.533333333,0.614597619,0.536808118
21,22,2/11/20 0:52,hypertension,Hypertensive disease,0,0,,1,0,1,1,0.263157895,0.5,0.673710167,0.533333333,0.614597738,0.536808118
22,23,2/11/20 0:53,hypercholesterolemia,Hypertensive disease,0,0,,1,1,1,1,1,1,1,0.928571429,0.542407155,0.443016559
23,24,2/11/20 0:53,hypertension,Hypertensive disease,0,0,,1,1,1,1,0.263157895,0.5,0.673710167,0.533333333,0.614430308,0.536808118
24,25,2/11/20 0:54,hypertension,Hypertensive disease,0,0,,1,1,1,1,0.263157895,0.5,0.673710167,0.533333333,0.61462158,0.536808118
25,26,2/11/20 0:54,hypertension,Hypertensive disease,0,0,,1,1,1,1,0.263157895,0.5,0.673710167,0.533333333,0.614599347,0.536808118
26,27,2/11/20 0:54,Hypertension,Hypertensive disease,0,0,,1,1,1,1,0.263157895,0.5,0.673710167,0.642857143,0.614597857,0.536808118
27,28,2/11/20 0:55,hypertension,Hypertensive disease,0,0,Lung,1,1,0,1,0.263157895,0.5,0.673710167,0.533333333,0.614597797,0.536808118
28,29,2/11/20 0:56,HTN,Hypertensive disease,0,0,,1,1,1,1,0.263157895,0.5,0.673710167,0.5,0.614597738,0.536808118
29,30,2/11/20 0:58,Hypertension,Hypertensive disease,0,0,,1,1,1,1,0.263157895,0.5,0.673710167,0.642857143,0.614597738,0.536808118
30,31,2/11/20 1:01,hypertension,Hypertensive disease,0,0,,1,0,1,1,0.263157895,0.5,0.673710167,0.533333333,0.614597738,0.536808118
31,32,2/11/20 1:02,HTN,Hypertensive disease,0,0,,1,1,1,1,0.263157895,0.5,0.673710167,0.5,0.614597797,0.536808118
32,33,2/11/20 1:03,Hypertension,Hypertensive disease,0,0,,1,1,1,1,0.263157895,0.5,0.673710167,0.642857143,0.614597738,0.536808118
33,34,2/11/20 1:03,HTN,Hypertensive disease,0,0,,1,1,1,1,0.263157895,0.5,0.673710167,0.5,0.614597738,0.536808118
34,35,2/11/20 1:04,HTN,Hypertensive disease,0,0,,1,1,1,1,0.263157895,0.5,0.673710167,0.5,0.614597738,0.536808118
35,36,2/11/20 1:05,HTN,Hypertensive disease,0,0,,1,1,1,1,0.263157895,0.5,0.673710167,0.5,0.614597797,0.536808118
36,37,2/11/20 1:05,HTN,Hypertensive disease,0,0,,1,1,1,1,0.263157895,0.5,0.673710167,0.5,0.614597738,0.536808118
37,38,2/11/20 1:06,htn,Hypertensive disease,0,0,,1,1,1,1,0.263157895,0.5,0.673710167,0.5,0.614597738,0.536808118
38,39,2/11/20 1:06,htn,Hypertensive disease,0,0,,1,1,1,1,0.263157895,0.5,0.673710167,0.5,0.614597738,0.536808118
39,40,2/11/20 1:06,HTN,Hypertensive disease,0,0,,1,1,1,1,0.263157895,0.5,0.673710167,0.5,0.614597738,0.536808118
40,41,2/11/20 1:07,HTN,Hypertensive disease,0,0,,1,1,1,1,0.263157895,0.5,0.673710167,0.5,0.614597738,0.536808118
41,42,2/11/20 1:07,HTN,Hypertensive disease,0,0,,1,1,1,1,0.263157895,0.5,0.673710167,0.5,0.614597738,0.536808118
42,43,2/11/20 1:07,HTN,Hypertensive disease,0,0,,1,1,1,1,0.263157895,0.5,0.673710167,0.5,0.614597738,0.536808118
43,44,2/11/20 1:08,HTN,Hypertensive disease,0,0,Lung,1,1,0,1,0.263157895,0.5,0.673710167,0.5,0.614597797,0.536808118
44,45,2/11/20 1:08,high blood pressure,Hypertensive disease,0,0,Blood,1,1,0,1,0,0.15,0.250298262,0.368421053,0.571066916,0.047474614
45,46,2/11/20 1:09,chf,Congestive heart failure,0,0,,1,0,1,1,0.981481481,0.96,1,0.833333333,0.902225196,1
46,47,2/11/20 1:10,CHF,Congestive heart failure,0,0,,1,0,1,1,0.981481481,0.96,1,0.833333333,0.901545227,1
47,48,2/11/20 1:10,CHF,Congestive heart failure,0,0,,1,1,1,0,0.981481481,0.96,1,0.833333333,0.901520908,1
48,49,2/11/20 1:11,chf,Congestive heart failure,0,0,,1,1,1,1,0.981481481,0.96,1,0.833333333,0.901520252,1
49,50,2/11/20 1:11,chf,Congestive heart failure,0,0,,1,1,1,1,0.981481481,0.96,1,0.833333333,0.901520133,1
50,51,2/11/20 1:11,chf,Congestive heart failure,0,0,,1,1,1,1,0.981481481,0.96,1,0.833333333,0.901520133,1
51,52,2/11/20 1:12,chf,Congestive heart failure,0,0,,1,1,1,1,0.981481481,0.96,1,0.833333333,0.901520133,1
52,53,2/11/20 1:12,chf,Congestive heart failure,0,0,,1,1,1,1,0.981481481,0.96,1,0.833333333,0.901520133,1
53,54,2/11/20 1:13,CHF,Congestive heart failure,0,0,,1,1,1,1,0.981481481,0.96,1,0.833333333,0.901520133,1
54,55,2/11/20 1:13,CHF,Congestive heart failure,1,0,,1,1,1,1,0.981481481,0.96,1,0.833333333,0.901520133,1
55,56,2/11/20 1:14,CHF,Congestive heart failure,0,0,,1,1,1,1,0.981481481,0.96,1,0.833333333,0.901520133,1
