index,bleu_score,levenstein_sim,jaccard_sim,Euclidean_dist,cosine_sim,correct_answ,concept,range,negation,hof,location,negation_answ,hof_answ,location_answ,old_cosine
451,1.0,0.833333333,0.571428571,0.3991341322660446,0.5595898181200027,1,Ulcer,ulcers,0,0,,1.0,1.0,1.0,0.7838571670000001
1012,0.981481481,0.96,0.9285714290000001,0.24229898197310312,0.0,1,Patent ductus arteriosus,PDA,0,0,Posterior interventricular branch of right coronary artery,1.0,1.0,1.0,1.0
713,1.277777778,0.9090909090000001,1.0,0.3269122006992499,0.3677587912550994,1,Chest Pain,chest pains,0,0,Chest,1.0,1.0,1.0,0.47081147100000004
525,1.0,1.0,1.0,0.3707390157949357,0.4064008955402594,1,Coronary Artery Disease,coronary artery disease,1,1,Arteries,1.0,1.0,1.0,1.0
997,0.5,0.111111111,0.1,0.24025513728459677,0.4088829900411999,1,Depressive disorder,hives,0,0,,1.0,1.0,1.0,0.6842195390000001
139,1.0,1.0,0.75,0.33106764530142146,0.3987673323639889,1,Atrial Fibrillation,atrial fibrillation,0,0,Heart Atrium,1.0,1.0,1.0,1.0
795,0.0,0.14285714300000002,0.111111111,0.2069567084312439,0.0,1,Palpitations,SOB,1,0,,1.0,1.0,1.0,0.653896809
51,0.981481481,0.96,0.833333333,0.10201921952622277,0.40211602939026697,1,Congestive heart failure,chf,0,0,,1.0,1.0,1.0,1.0
644,0.263157895,0.4375,0.636363636,0.2195198747018973,0.3601592206856707,0,Stomach Diseases,stomach,0,0,Entire stomach,,,,0.672669709
788,0.263157895,0.4,0.333333333,0.40428611139456433,0.3464014756803711,1,Angina Pectoris,angina,0,0,,1.0,1.0,1.0,0.7909129859999999
449,0.333333333,0.818181818,0.611111111,0.3038842394238427,0.39126556818683944,1,Deep Vein Thrombosis,deep venous thrombosis,0,0,Structure of calf of leg,1.0,1.0,0.0,0.844430337
215,1.0,1.0,0.833333333,0.4357871025800705,0.444882161100395,1,Anemia,anemia,0,0,,1.0,1.0,1.0,1.0
354,0.5,0.8125,0.7142857140000001,0.31590328365564346,0.32409459725022316,1,Hypertensive disease,cardiomyopathy,0,0,,1.0,1.0,1.0,0.493917674
557,0.25,0.9090909090000001,0.8125,0.3065995878229539,0.4050285166654831,1,Food-Drug Interactions,Food/Drug Interaction,0,0,,1.0,1.0,1.0,0.8100879790000001
392,1.0,1.0,0.8,0.3449363062779109,0.39041498297238875,1,Myocardial Infarction,myocardial infarction,0,0,,1.0,0.0,1.0,1.0
249,0.135135135,0.27777777800000003,0.5625,0.307556233368814,0.45295952228156644,1,Infections of musculoskeletal system,Infections,0,0,,1.0,1.0,1.0,0.338255769
172,0.263157895,0.5,0.5,0.3222960407535235,0.0,1,Hypertensive disease,HTN,0,0,Structure of right knee,1.0,1.0,1.0,0.6737101670000001
971,0.263157895,0.6,0.642857143,0.3692886034647624,0.4295752955087717,1,Cholecystectomy procedure,cholecystectomy,0,0,Lower Extremity,1.0,1.0,1.0,0.838336408
958,0.0,0.42105263200000004,0.454545455,0.2945748448371887,0.0,1,Electrocardiography,EKG,0,0,,1.0,0.0,1.0,0.351703462
632,0.0,0.636363636,0.875,0.27582121193408965,0.36472346442086356,1,Amyloidosis,amyloid,0,0,,1.0,1.0,1.0,0.529198945
358,0.0,0.130434783,0.14285714300000002,0.17798879742622375,0.27932497169822457,1,Adenosine Monophosphate,amp,0,0,,1.0,1.0,1.0,0.469460875
765,0.263157895,0.647058824,0.615384615,0.2886805882056554,0.42191976899547234,0,Drug Interactions,Interaction,0,0,,,,,0.326243877
330,0.0,0.19047619,0.4375,0.2370258296529452,0.39897209136850303,1,Communicable Diseases,infectious,0,0,,1.0,1.0,1.0,0.543874189
340,0.263157895,0.5,0.642857143,0.36151503523190814,0.4172568258387272,1,Hypertensive disease,Hypertension,0,0,,1.0,1.0,1.0,0.6737101670000001
902,0.0,0.23809523800000001,0.533333333,0.18310740093390146,0.4051477401846587,1,Discussion (procedure),replacement,0,0,,1.0,1.0,1.0,0.303801432
153,1.0,1.0,0.933333333,0.36560997863610584,0.368070747946479,1,Renal tubular acidosis,renal tubular acidosis,0,0,Kidney,1.0,1.0,1.0,1.0
599,0.0,0.09677419400000001,0.235294118,0.2322217800787517,0.0,0,Infantile Neuroaxonal Dystrophy,PLAN,0,0,,,,,-0.16849049600000002
876,0.25,0.36842105299999994,0.571428571,0.2813508262236913,0.44261645392647814,1,Fat-Restricted Diet,low-fat diet,0,0,,1.0,1.0,1.0,0.8075634540000001
484,0.17857142899999998,0.17391304300000002,0.14285714300000002,0.30890036693641115,0.47811903278617296,0,"Joint Examination, Knee",knee,0,0,Knee,0.0,0.0,0.0,0.66565303
899,0.5,0.46666666700000003,0.615384615,0.31344643235206604,0.3325873451041324,0,Ultrasonography,ultrasound,0,0,,,,,0.888970852
592,0.0,0.19047619,0.46666666700000003,0.26744599888722104,0.40098537592056355,0,Communicable Diseases,Infectious,0,0,,,,,0.543874189
30,0.263157895,0.5,0.533333333,0.3887125452359517,0.3990007418173331,1,Hypertensive disease,hypertension,0,0,,1.0,0.0,1.0,0.6737101670000001
650,0.0,0.09677419400000001,0.235294118,0.13170469126531056,0.3553994726867248,0,Infantile Neuroaxonal Dystrophy,Plan,0,0,,,,,-0.16849049600000002
654,0.0,0.09677419400000001,0.235294118,0.23361060342618398,0.0,0,Infantile Neuroaxonal Dystrophy,PLAN,0,0,,,,,-0.16849049600000002
222,0.263157895,0.4375,0.583333333,0.21629932771126428,0.3601592206856707,0,Stomach Diseases,stomach,0,0,Entire stomach,,,,0.672669709
197,0.981481481,0.958333333,0.625,0.3088174802916391,0.0,1,Coronary Artery Disease,CAD,0,0,,1.0,1.0,1.0,1.0
209,0.263157895,0.125,0.294117647,0.3398999571800232,0.42010515919801866,1,Cerebrovascular accident,stroke,0,0,Arteries,1.0,1.0,1.0,0.563425779
646,0.263157895,0.4375,0.636363636,0.22170430794358253,0.3601592206856707,0,Stomach Diseases,stomach,0,0,Entire stomach,,,,0.672669709
385,0.9375,0.916666667,0.736842105,0.18820029497146606,0.40750540490137704,1,"Deafness, Sensorineural, And Male Infertility",post-concussive syndrome,0,0,,1.0,1.0,1.0,1.0
22,1.0,1.0,0.9285714290000001,0.3097691610455513,0.3793416679913991,1,Hypertensive disease,hypercholesterolemia,0,0,,1.0,1.0,1.0,1.0
697,1.0,1.0,1.0,0.37359522879123686,0.5427580057558689,1,Edema,edema,0,0,,1.0,1.0,1.0,1.0
93,0.263157895,0.470588235,0.5,0.41894206156333286,0.4130831448959985,1,Diabetes Mellitus,diabetes,0,0,,1.0,1.0,1.0,0.8091974259999999
61,0.981481481,0.96,0.833333333,0.3119249450308936,0.0,1,Congestive heart failure,CHF,0,0,,1.0,1.0,1.0,1.0
407,0.0,0.16,0.3125,0.13339840372403464,0.35024891662496055,0,Adenohypophyseal Diseases,anterior,0,0,,,,,0.171049237
479,0.754985755,0.612903226,0.705882353,0.1829093439238412,0.0,1,International Normalized Ratio,BUN,0,0,,1.0,1.0,1.0,1.0
726,0.0,0.25,0.333333333,0.23122041523456574,0.0,0,Discontinued,DIS,0,0,,,,,-0.025968384
128,0.0,0.21052631600000002,0.25,0.23567938804626465,0.363867286243476,1,Atrial Fibrillation,afib,0,0,,1.0,1.0,1.0,0.8008730409999999
400,1.0,1.0,0.9375,0.2021375261247158,0.38567313851545687,1,Obesity,cerebrovascular accident,0,0,,1.0,1.0,1.0,1.0
623,1.277777778,0.9285714290000001,1.0,0.3511725440621376,0.4301712812545399,1,Gastric ulcer,gastric ulcers,0,0,,1.0,1.0,1.0,0.825835049
277,0.5,0.9,0.7777777779999999,0.3206986546516418,0.3891160948667675,1,Pneumonia,pneumoniae,0,0,,1.0,1.0,1.0,0.244303152
838,0.0,0.41176470600000004,0.583333333,0.2641225879391034,0.45467441954783033,1,"Flexion, function",flexion,0,0,,1.0,1.0,1.0,0.702616543
891,1.0,1.0,1.0,0.16774238681509382,0.41566453136148906,1,Liver Function Tests,blood cell count,0,0,,1.0,1.0,1.0,1.0
856,0.981481481,0.967741935,0.923076923,0.21511120668479375,0.0,1,International Normalized Ratio,INR,0,0,,1.0,1.0,1.0,1.0
242,0.0,0.16,0.3125,0.13257709642251334,0.35024891662496055,0,Adenohypophyseal Diseases,anterior,0,0,,,,,0.171049237
823,1.0,1.0,1.0,0.37654326235254604,1.0,1,Chronic pain,Chronic pain,0,0,,1.0,1.0,1.0,1.0
574,0.0,0.16,0.35714285700000004,0.13355558489759764,0.35024891662496055,0,Adenohypophyseal Diseases,anterior,0,0,,1.0,1.0,1.0,0.171049237
29,0.263157895,0.5,0.642857143,0.36174991230169934,0.4172568258387272,1,Hypertensive disease,Hypertension,0,0,,1.0,1.0,1.0,0.6737101670000001
917,0.6465517239999999,0.5862068970000001,0.9285714290000001,0.2863174591745649,0.3520831439009816,1,Oxygen saturation measurement,oxygen saturation,0,0,,1.0,1.0,1.0,1.0
36,0.263157895,0.5,0.5,0.3219662681221962,0.0,1,Hypertensive disease,HTN,0,0,,1.0,1.0,1.0,0.6737101670000001
53,0.981481481,0.96,0.833333333,0.3123644845826285,0.0,1,Congestive heart failure,CHF,0,0,,1.0,1.0,1.0,1.0
122,0.981481481,0.958333333,0.625,0.30929589697292875,0.0,1,Coronary Artery Disease,CAD,0,0,,1.0,1.0,1.0,1.0
296,1.0,1.0,1.0,0.4516547918319702,1.0,1,Pneumonia,Pneumonia,0,0,,1.0,1.0,1.0,1.0
952,0.0,0.42105263200000004,0.454545455,0.29434717893600465,0.0,1,Electrocardiography,EKG,0,0,,1.0,1.0,1.0,0.351703462
852,1.0,1.0,1.0,0.3366698235273361,0.41891637902606177,1,Emotional,emotional,0,0,,0.0,1.0,1.0,1.0
87,0.981481481,0.96,0.833333333,0.3114560012306486,0.0,1,Congestive heart failure,CHF,0,0,,1.0,1.0,1.0,1.0
27,0.263157895,0.5,0.533333333,0.3885587180654208,0.3990007418173331,1,Hypertensive disease,hypertension,0,0,Lung,1.0,1.0,0.0,0.6737101670000001
966,1.0,1.0,1.0,0.235076333795275,0.32739673409570047,1,Infantile Neuroaxonal Dystrophy,hypothyroidism,0,0,,1.0,1.0,1.0,1.0
567,0.981481481,0.96,0.9411764709999999,0.3116374377693449,0.0,1,Congestive heart failure,CHF,0,0,,1.0,1.0,1.0,1.0
445,0.0,0.47619047600000003,0.615384615,0.17027203862865767,0.3538545172073339,1,Familial eosinophilia,eos,1,0,,1.0,1.0,1.0,0.456366271
913,1.277777778,0.9285714290000001,0.9090909090000001,0.29077243991196156,0.45755308023814495,1,Blood culture,blood cultures,0,0,,1.0,1.0,1.0,0.833148032
597,0.263157895,0.470588235,0.636363636,0.41843509674072266,0.4130831448959985,1,Diabetes Mellitus,diabetes,0,0,,1.0,1.0,1.0,0.8091974259999999
606,1.0,1.0,1.0,0.4054536819458008,0.5098887948053223,1,Gout,gout,0,1,,1.0,1.0,1.0,1.0
20,0.263157895,0.5,0.533333333,0.39175403614838916,0.3990007418173331,1,Hypertensive disease,hypertension,0,0,,1.0,1.0,1.0,0.6737101670000001
414,0.25,0.21739130399999998,0.115384615,0.1336412722510951,0.0,1,Deep Vein Thrombosis,HEREDITARY ANGIOEDEMA,0,0,,1.0,1.0,1.0,0.571666837
368,1.0,1.0,0.8,0.34464968368411064,0.39041498297238875,1,Myocardial Infarction,myocardial infarction,0,0,,0.0,1.0,1.0,1.0
335,0.263157895,0.5,0.642857143,0.3613448416193326,0.4172568258387272,1,Hypertensive disease,Hypertension,0,0,,1.0,1.0,1.0,0.6737101670000001
74,0.981481481,0.96,0.833333333,0.3119127537522997,0.0,1,Congestive heart failure,CHF,0,0,,1.0,0.0,1.0,1.0
677,0.135135135,0.27777777800000003,0.533333333,0.2978071589022875,0.44076734989648686,0,Infections of musculoskeletal system,infections,0,0,,,,,0.338255769
500,0.25,0.7333333329999999,0.75,0.293832133213679,0.3835278557657841,1,Fluid overload,volume overload,0,0,,1.0,1.0,1.0,0.895831615
491,0.60483871,0.566666667,0.8666666670000001,0.24115214558939138,0.39804643020033836,1,Hay fever,bleeding or clotting disorders,1,0,,1.0,1.0,1.0,0.31380824399999996
755,1.0,1.0,1.0,0.3128592831393083,0.45883209033779904,1,Blood Pressure,blood pressure,0,0,Blood,1.0,1.0,1.0,1.0
338,0.263157895,0.5,0.533333333,0.39173347999652225,0.3990007418173331,1,Hypertensive disease,hypertension,0,0,,1.0,1.0,1.0,0.6737101670000001
824,1.0,1.0,1.0,0.3889191361765067,0.380534631599273,1,Chronic pain,chronic pain,0,0,,1.0,1.0,1.0,1.0
