,number,date,range,concept,negation,hof,location,correct_answ,hof_answ,location_answ,negation_answ,bleu_score,levenstein_sim,cosine_sim,jaccard_sim,Elmo_cosine,new_cosine_sim
0,1,2/11/20 0:36,DIS,Hypertensive disease,0,0,,0,,,,0.0,0.04444444400000001,0.170714828,0.15,0.20131044959028563,0.0
1,2,2/11/20 0:37,Hypertension,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.642857143,0.3620379517475764,0.4172568258387272
2,3,2/11/20 0:37,Anemia,Hypertensive disease,0,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.31474729627370834,0.39738524423705207
3,4,2/11/20 0:37,heart failure,Hypertensive disease,0,0,Heart,1,1.0,1.0,1.0,1.0,1.0,1.0,0.818181818,0.26163159124553204,0.3755570918114649
4,5,2/11/20 0:38,Hypertension,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.642857143,0.3612973392009735,0.4172568258387272
5,6,2/11/20 0:38,Chronic renal insufficiency,Hypertensive disease,0,0,Kidney,1,1.0,1.0,1.0,0.333333333,0.8214285709999999,1.0,0.7222222220000001,0.22379126399755478,0.41066201082085846
6,7,2/11/20 0:39,Cataracts,Hypertensive disease,0,0,,1,1.0,1.0,1.0,1.0,0.8888888890000001,0.7719308140000001,0.833333333,0.26083917915821075,0.3424321817389379
7,8,2/11/20 0:41,Hypertension,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.642857143,0.3619250829021136,0.4172568258387272
8,9,2/11/20 0:42,lbbb,Hypertensive disease,0,0,,1,1.0,0.0,1.0,0.322580645,0.92,0.435366015,0.736842105,0.18690024813016257,0.3428924474865198
9,10,2/11/20 0:44,Hypothyroidism,Hypertensive disease,0,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.31516624987125397,0.3510621711293347
10,11,2/11/20 0:44,hypertension,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.533333333,0.3877801572283109,0.3990007418173331
11,12,2/11/20 0:44,high cholesterol,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.0,0.6,0.417324156,0.5625,0.18622544780373573,0.35648812370167837
12,13,2/11/20 0:45,glaucoma,Hypertensive disease,0,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.31670910865068436,0.2840873839126693
13,14,2/11/20 0:45,GERD,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.6465517239999999,0.7419354840000001,0.67886433,0.7777777779999999,0.29130806028842926,0.0
14,15,2/11/20 0:45,htn,Hypertensive disease,0,1,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.5,0.19578648110230765,0.3561235238556509
15,16,2/11/20 0:45,HPI,Hypertensive disease,0,0,,0,,,,0.0,0.1875,0.218197867,0.578947368,0.21277663856744766,0.0
16,17,2/11/20 0:46,lbbb,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.322580645,0.92,0.435366015,0.736842105,0.18663419038057327,0.3428924474865198
17,18,2/11/20 0:48,hypertension,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.533333333,0.3917202229301135,0.3990007418173331
18,19,2/11/20 0:48,htn,Hypertensive disease,0,1,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.5,0.1971957584222158,0.3561235238556509
19,20,2/11/20 0:50,HTN,Hypertensive disease,0,0,,1,0.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.5,0.3225272223353386,0.0
20,21,2/11/20 0:51,hypertension,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.533333333,0.3886874094605446,0.3990007418173331
21,22,2/11/20 0:52,hypertension,Hypertensive disease,0,0,,1,0.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.533333333,0.39166129877169925,0.3990007418173331
22,23,2/11/20 0:53,hypercholesterolemia,Hypertensive disease,0,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9285714290000001,0.3126322627067566,0.3793416679913991
23,24,2/11/20 0:53,hypertension,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.533333333,0.39194973061482113,0.3990007418173331
24,25,2/11/20 0:54,hypertension,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.533333333,0.3916683221856753,0.3990007418173331
25,26,2/11/20 0:54,hypertension,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.533333333,0.3916645521918933,0.3990007418173331
26,27,2/11/20 0:54,Hypertension,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.642857143,0.36160604407389957,0.4172568258387272
27,28,2/11/20 0:55,hypertension,Hypertensive disease,0,0,Lung,1,1.0,0.0,1.0,0.263157895,0.5,0.6737101670000001,0.533333333,0.3881881559888522,0.3990007418173331
28,29,2/11/20 0:56,HTN,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.5,0.32255232830842334,0.0
29,30,2/11/20 0:58,Hypertension,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.642857143,0.36197786778211594,0.4172568258387272
30,31,2/11/20 1:01,hypertension,Hypertensive disease,0,0,,1,0.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.533333333,0.38818851858377457,0.3990007418173331
31,32,2/11/20 1:02,HTN,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.5,0.3225523705283801,0.0
32,33,2/11/20 1:03,Hypertension,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.642857143,0.3619778777162234,0.4172568258387272
33,34,2/11/20 1:03,HTN,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.5,0.3224350834886233,0.0
34,35,2/11/20 1:04,HTN,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.5,0.32290012141068775,0.0
35,36,2/11/20 1:05,HTN,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.5,0.32289939373731613,0.0
36,37,2/11/20 1:05,HTN,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.5,0.32289933661619824,0.0
37,38,2/11/20 1:06,htn,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.5,0.19599447026848793,0.3561235238556509
38,39,2/11/20 1:06,htn,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.5,0.19570999716718993,0.3561235238556509
39,40,2/11/20 1:06,HTN,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.5,0.322529857357343,0.0
40,41,2/11/20 1:07,HTN,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.5,0.322897307574749,0.0
41,42,2/11/20 1:07,HTN,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.5,0.32289909819761914,0.0
42,43,2/11/20 1:07,HTN,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.5,0.3228993018468221,0.0
43,44,2/11/20 1:08,HTN,Hypertensive disease,0,0,Lung,1,1.0,0.0,1.0,0.263157895,0.5,0.6737101670000001,0.5,0.32289932171503705,0.0
44,45,2/11/20 1:08,high blood pressure,Hypertensive disease,0,0,Blood,1,1.0,0.0,1.0,0.0,0.15,0.250298262,0.36842105299999994,0.2087770083712207,0.36177346521830245
45,46,2/11/20 1:09,chf,Congestive heart failure,0,0,,1,0.0,1.0,1.0,0.981481481,0.96,1.0,0.833333333,0.103227256664208,0.40211602939026697
46,47,2/11/20 1:10,CHF,Congestive heart failure,0,0,,1,0.0,1.0,1.0,0.981481481,0.96,1.0,0.833333333,0.31227401963302065,0.0
47,48,2/11/20 1:10,CHF,Congestive heart failure,0,0,,1,1.0,1.0,0.0,0.981481481,0.96,1.0,0.833333333,0.3123089096375874,0.0
48,49,2/11/20 1:11,chf,Congestive heart failure,0,0,,1,1.0,1.0,1.0,0.981481481,0.96,1.0,0.833333333,0.10209876192467553,0.40211602939026697
