,number,date,range,concept,negation,hof,location,correct_answ,hof_answ,location_answ,negation_answ,bleu_score,levenstein_sim,cosine_sim,jaccard_sim,Elmo_cosine,new_cosine_sim
17,18,2/11/20 0:48,hypertension,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.533333333,0.6122142672538757,0.536808118224144
18,19,2/11/20 0:48,htn,Hypertensive disease,0,1,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.5,0.6145406365394592,0.536808118224144
19,20,2/11/20 0:50,HTN,Hypertensive disease,0,0,,1,0.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.5,0.6145943999290466,0.536808118224144
20,21,2/11/20 0:51,hypertension,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.533333333,0.6145976185798645,0.536808118224144
21,22,2/11/20 0:52,hypertension,Hypertensive disease,0,0,,1,0.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.533333333,0.614597737789154,0.536808118224144
22,23,2/11/20 0:53,hypercholesterolemia,Hypertensive disease,0,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9285714290000001,0.5424071550369263,0.44301655888557434
23,24,2/11/20 0:53,hypertension,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.533333333,0.61443030834198,0.536808118224144
24,25,2/11/20 0:54,hypertension,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.533333333,0.6146215796470642,0.536808118224144
25,26,2/11/20 0:54,hypertension,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.533333333,0.614599347114563,0.536808118224144
26,27,2/11/20 0:54,Hypertension,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.642857143,0.6145978569984436,0.536808118224144
27,28,2/11/20 0:55,hypertension,Hypertensive disease,0,0,Lung,1,1.0,0.0,1.0,0.263157895,0.5,0.6737101670000001,0.533333333,0.6145977973937988,0.536808118224144
28,29,2/11/20 0:56,HTN,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.5,0.614597737789154,0.536808118224144
29,30,2/11/20 0:58,Hypertension,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.642857143,0.614597737789154,0.536808118224144
30,31,2/11/20 1:01,hypertension,Hypertensive disease,0,0,,1,0.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.533333333,0.614597737789154,0.536808118224144
31,32,2/11/20 1:02,HTN,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.5,0.6145977973937988,0.536808118224144
32,33,2/11/20 1:03,Hypertension,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.642857143,0.614597737789154,0.536808118224144
33,34,2/11/20 1:03,HTN,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.5,0.614597737789154,0.536808118224144
34,35,2/11/20 1:04,HTN,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.5,0.614597737789154,0.536808118224144
35,36,2/11/20 1:05,HTN,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.5,0.6145977973937988,0.536808118224144
36,37,2/11/20 1:05,HTN,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.5,0.614597737789154,0.536808118224144
37,38,2/11/20 1:06,htn,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.5,0.614597737789154,0.536808118224144
38,39,2/11/20 1:06,htn,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.5,0.614597737789154,0.536808118224144
39,40,2/11/20 1:06,HTN,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.5,0.614597737789154,0.536808118224144
40,41,2/11/20 1:07,HTN,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.5,0.614597737789154,0.536808118224144
41,42,2/11/20 1:07,HTN,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.5,0.614597737789154,0.536808118224144
42,43,2/11/20 1:07,HTN,Hypertensive disease,0,0,,1,1.0,1.0,1.0,0.263157895,0.5,0.6737101670000001,0.5,0.614597737789154,0.536808118224144
43,44,2/11/20 1:08,HTN,Hypertensive disease,0,0,Lung,1,1.0,0.0,1.0,0.263157895,0.5,0.6737101670000001,0.5,0.6145977973937988,0.536808118224144
44,45,2/11/20 1:08,high blood pressure,Hypertensive disease,0,0,Blood,1,1.0,0.0,1.0,0.0,0.15,0.250298262,0.36842105299999994,0.5710669159889221,0.04747461434453726
45,46,2/11/20 1:09,chf,Congestive heart failure,0,0,,1,0.0,1.0,1.0,0.981481481,0.96,1.0,0.833333333,0.9022251963615417,1.0
46,47,2/11/20 1:10,CHF,Congestive heart failure,0,0,,1,0.0,1.0,1.0,0.981481481,0.96,1.0,0.833333333,0.9015452265739441,1.0
47,48,2/11/20 1:10,CHF,Congestive heart failure,0,0,,1,1.0,1.0,0.0,0.981481481,0.96,1.0,0.833333333,0.9015209078788757,1.0
48,49,2/11/20 1:11,chf,Congestive heart failure,0,0,,1,1.0,1.0,1.0,0.981481481,0.96,1.0,0.833333333,0.9015202522277832,1.0
49,50,2/11/20 1:11,chf,Congestive heart failure,0,0,,1,1.0,1.0,1.0,0.981481481,0.96,1.0,0.833333333,0.9015201330184937,1.0
50,51,2/11/20 1:11,chf,Congestive heart failure,0,0,,1,1.0,1.0,1.0,0.981481481,0.96,1.0,0.833333333,0.9015201330184937,1.0
51,52,2/11/20 1:12,chf,Congestive heart failure,0,0,,1,1.0,1.0,1.0,0.981481481,0.96,1.0,0.833333333,0.9015201330184937,1.0
52,53,2/11/20 1:12,chf,Congestive heart failure,0,0,,1,1.0,1.0,1.0,0.981481481,0.96,1.0,0.833333333,0.9015201330184937,1.0
