number,date,range,concept,negation,hof,location,correct_answ,hof_answ,location_answ,negation_answ,bleu_score,levenstein_sim,cosine_sim,jaccard_sim
1,2/11/20 0:36,DIS,Hypertensive disease,0,0,null,0,,,,0,0.044444444,0.170714828,0.15
2,2/11/20 0:37,Hypertension,Hypertensive disease,0,0,null,1,1,1,1,0.263157895,0.5,0.673710167,0.642857143
3,2/11/20 0:37,Anemia,Hypertensive disease,0,0,null,1,1,1,1,1,1,1,1
4,2/11/20 0:37,heart failure,Hypertensive disease,0,0,Heart,1,1,1,1,1,1,1,0.818181818
5,2/11/20 0:38,Hypertension,Hypertensive disease,0,0,null,1,1,1,1,0.263157895,0.5,0.673710167,0.642857143
6,2/11/20 0:38,Chronic renal insufficiency,Hypertensive disease,0,0,Kidney,1,1,1,1,0.333333333,0.821428571,1,0.722222222
7,2/11/20 0:39,Cataracts,Hypertensive disease,0,0,null,1,1,1,1,1,0.888888889,0.771930814,0.833333333
8,2/11/20 0:41,Hypertension,Hypertensive disease,0,0,null,1,1,1,1,0.263157895,0.5,0.673710167,0.642857143
9,2/11/20 0:42,lbbb,Hypertensive disease,0,0,null,1,1,0,1,0.322580645,0.92,0.435366015,0.736842105
10,2/11/20 0:44,Hypothyroidism,Hypertensive disease,0,0,null,1,1,1,1,1,1,1,1
11,2/11/20 0:44,hypertension,Hypertensive disease,0,0,null,1,1,1,1,0.263157895,0.5,0.673710167,0.533333333
12,2/11/20 0:44,high cholesterol,Hypertensive disease,0,0,null,1,1,1,1,0,0.6,0.417324156,0.5625
13,2/11/20 0:45,glaucoma,Hypertensive disease,0,0,null,1,1,1,1,1,1,1,0.75
14,2/11/20 0:45,GERD,Hypertensive disease,0,0,null,1,1,1,1,0.646551724,0.741935484,0.67886433,0.777777778
15,2/11/20 0:45,htn,Hypertensive disease,0,1,null,1,1,1,1,0.263157895,0.5,0.673710167,0.5
16,2/11/20 0:45,HPI,Hypertensive disease,0,0,null,0,,,,0,0.1875,0.218197867,0.578947368
17,2/11/20 0:46,lbbb,Hypertensive disease,0,0,null,1,1,1,1,0.322580645,0.92,0.435366015,0.736842105
18,2/11/20 0:48,hypertension,Hypertensive disease,0,0,null,1,1,1,1,0.263157895,0.5,0.673710167,0.533333333
19,2/11/20 0:48,htn,Hypertensive disease,0,1,null,1,1,1,1,0.263157895,0.5,0.673710167,0.5
